CaretDown24: 0xf262
CaretLeft12: 0xf263
CaretLeft16: 0xf264
CaretLeft20: 0xf265
CaretLeft24: 0xf266
CaretRight12: 0xf267
CaretRight16: 0xf268
CaretRight20: 0xf269
CaretRight24: 0xf26a
Cart24: 0xf26b
Cast20: 0xf26c
Cast24: 0xf26d
Cast28: 0xf26e
Cellular3g24: 0xf26f
Cellular4g24: 0xf270
CellularData120: 0xf271
CellularData124: 0xf272
CellularData220: 0xf273
CellularData224: 0xf274
CellularData320: 0xf275
CellularData324: 0xf276
CellularData420: 0xf277
CellularData424: 0xf278
CellularData520: 0xf279
CellularData524: 0xf27a
Certificate20: 0xf27e
Certificate24: 0xf27f
Channel16: 0xf280
Channel20: 0xf281
Channel24: 0xf282
Chat20: 0xf286
Chat28: 0xf288
Chat24: 0xf287
ChatBubblesQuestion24: 0xf289
ChatHelp24: 0xf28a
ChatOff24: 0xf28b
ChatWarning24: 0xf28c
CheckboxChecked20: 0xf28d
CheckboxChecked24: 0xf28e
CheckboxUnchecked12: 0xf28f
CheckboxUnchecked16: 0xf290
CheckboxUnchecked20: 0xf291
CheckboxUnchecked24: 0xf292
Checkmark12: 0xf293
Checkmark20: 0xf294
Checkmark24: 0xf295
Checkmark28: 0xf296
CheckmarkCircle16: 0xf297
CheckmarkCircle20: 0xf298
CheckmarkCircle24: 0xf299
CheckmarkCircle48: 0xf29a
CheckmarkLock16: 0xf29b
CheckmarkLock20: 0xf29c
CheckmarkLock24: 0xf29d
CheckmarkSquare24: 0xf29e
CheckmarkUnderlineCircle16: 0xf29f
CheckmarkUnderlineCircle20: 0xf2a0
ChevronDown12: 0xf2a1
ChevronDown16: 0xf2a2
ChevronDown20: 0xf2a3
ChevronDown24: 0xf2a4
ChevronDown28: 0xf2a5
ChevronDown48: 0xf2a6
ChevronLeft12: 0xf2a8
ChevronLeft16: 0xf2a9
ChevronLeft20: 0xf2aa
ChevronLeft24: 0xf2ab
ChevronLeft28: 0xf2ac
ChevronLeft48: 0xf2ad
ChevronRight12: 0xf2ae
ChevronRight16: 0xf2af
ChevronRight20: 0xf2b0
ChevronRight24: 0xf2b1
ChevronRight28: 0xf2b2
